id,gender,age
07630f,1,52
14bb07,1,26
093e5f,2,29
15ee5c,2,51
10abaa,1,23
04401c,2,23
05c593,2,65
1d9c5c,1,24
1e4273,1,40
01bf73,1,39
19139d,1,23
0d291b,1,26
0d9e1f,2,64
11890c,1,30
05a2dc,1,12
11fe9d,1,32
19f894,1,55
0a9206,1,29
06f2fd,1,55
0eb094,2,62
5.80E+95,2,30
00fcbc,1,53
1e1e15,1,38
1baa46,2,81
119c64,2,81
14a382,1,42
15d83a,1,53
147b0c,2,59
07de7a,1,25
0f7982,1,33
06af79,2,37
1.76E+54,2,40
1e1818,1,30
14ebdc,2,52
69898,1,36
15fe82,2,84
01186a,1,48
1513da,1,29
4.41E+07,1,42
130bcb,1,68
15aeaa,1,37
0adae9,2,30
0b6eb0,1,32
37260,1,78
0791ad,1,29
19d40e,2,64
1718ac,1,49
195360,2,21
1168a4,2,21
0f8cb8,1,51
14156b,2,47
0c0551,2,7
0badd9,1,64
05d644,1,35
1c447f,2,43
009d4d,1,35
0b33f4,2,32
0c5ba7,1,45
111fcc,2,0
0c2e8c,1,37
097f04,2,55
0b7262,2,27
167663,1,25
0b6e75,2,33
07402a,1,40
1ad884,1,40
16c193,1,35
02c1d2,2,63
17665c,2,41
194ad9,1,34
0d2e46,2,20
1403fd,1,69
1da254,2,49
32248,2,44
01bb5b,2,75
14d4c7,1,22
18f0cf,1,59
03ee6a,2,52
13b0cb,1,48
069c60,2,63
093d78,2,62
1b392b,2,28
01190b,2,49
09c65b,2,22
0445cd,2,49
158553,1,76
140cf3,1,48
1cdea0,1,45
06984c,2,41
1.36E+40,1,27
0e6e03,1,62
0de2f0,2,34
0a09dd,1,67
116366,2,9
14d8a3,1,62
1806eb,2,43
73379,1,42
1bc37a,1,78
6.95E+08,2,24
03aa10,2,56
0e68df,2,47
08ebb9,1,58
1b26be,1,51
1.25E+26,2,33
102581,1,67
1dd981,2,27
1af768,1,55
0a249f,2,57
0b0f83,2,30
028c60,1,34
11a856,2,42
1b35ec,1,54
05cb4c,1,30
16107c,1,28
1c4155,1,27
07161b,1,27
019b55,1,47
0d2fbf,1,35
08d208,2,60
12c03a,2,53
1b4e6b,2,24
10e3b3,2,47
01defd,1,29
17ebc2,2,3
1ca6e5,1,44
120269,2,44
4738,1,60
01aeb7,1,26
180c1a,1,41
47469,2,59
08d370,2,39
06267b,2,30
0ca765,2,23
1779a5,2,39
0abc65,1,76
08c584,1,62
1e5832,1,27
135226,2,35
177b0a,1,49
16bf0e,2,54
44339,2,65
000de4,1,32
1.95E+03,2,35
1a9941,2,30
0e2f8a,1,45
109d39,2,67
169008,2,37
19d9df,1,45
34634,1,39
074ebb,2,31
0e2961,2,20
00d766,2,47
132472,1,23
0a4cdb,1,44
0c5177,1,12
05f83b,2,90
144213,1,33
167137,2,50
000d46,2,24
04bd47,1,13
07bb86,2,30
0eae04,2,31
1d67ad,1,24
1975f8,1,44
0d0d3f,2,37
